Number of Crimes by Hour of Day by Location Type,,,,,,,,
Measures: Number of Crimes,,,,,,,,
"Data source: Virginia_SS, Offense Data",,,,,,,,
Incident Date: 2017,,,,,,,,
Jurisdiction by Geography: Virginia,,,,,,,,
Offense Type: All Offense Types,,,,,,,,
Incident Hour of Day,6:00pm-8:59pm,9:00pm-11:59pm,12:00am-2:59am,3:00am-5:59am,6:00am-8:59am,9:00am-11:59am,12:00n-2:59pm,3:00pm-5:59pm
Location Type,,,,,,,,
All Location Types,"74,239","68,118","60,184","18,492","33,777","51,161","67,680","74,086"
Residence/Home,"30,961","29,895","26,802","8,794","16,811","21,473","26,133","28,002"
Commercial,"16,327","9,681","10,984","3,497","6,115","12,046","18,868","20,269"
Air/Bus/Train Terminal,209,140,128,174,337,266,329,404
Bank/Savings and Loan,165,82,685,66,397,924,"1,014",769
Bar/Nightclub,178,512,"1,060",50,19,55,57,90
Commercial/Office Building,932,498,"1,025",190,744,"1,060","1,362","1,399"
Convenience Store,"1,874","1,795","1,829",842,907,"1,387","1,794","1,912"
Department/Discount Store,"4,296","1,212","1,075",394,872,"2,562","5,508","6,111"
Drug Store/Doctor’s Office/Hospital,707,437,531,212,409,688,835,898
Grocery/Supermarket,"1,306",561,460,137,381,917,"1,612","1,773"
Hotel/Motel/Etc.,"1,216","1,654","1,421",590,592,"1,005",971,"1,008"
Liquor Store,817,34,53,16,22,237,553,748
Rental Storage Facility,139,94,138,14,99,137,211,206
Restaurant,"1,505","1,414","1,089",311,338,805,"1,123","1,261"
Service/Gas Station,664,503,571,238,357,546,705,778
Specialty Store,"1,100",337,580,196,424,"1,052","1,739","1,723"
ATM Separate from Bank,19,17,77,10,45,35,42,30
Auto Dealership New/Used,158,66,144,39,100,145,180,151
Gambling Facility/Casino/Race Track,2,2,3,1,3,1,4,6
Shopping Mall,"1,040",323,115,17,69,224,829,"1,002"
Educational Facility,"1,077",802,913,172,"2,233","3,956","4,368","2,302"
School/College(Historical Only),,,1,,,,,
Daycare Facility,26,13,17,7,45,45,31,65
School – College/University,512,518,411,64,254,613,704,651
School – Elementary/Secondary,539,271,484,101,"1,934","3,298","3,633","1,586"
Government/Public Building and other,"1,680","1,191","1,299",264,700,"1,495","1,723","1,950"
Church/Synagogue/Temple/Mosque,260,197,171,41,140,279,322,283
Government/Public Building,446,240,698,72,286,708,684,733
Jail/Prison/Penitentiary/Corrections Facility,189,189,171,87,89,211,180,174
Amusement Park,77,39,18,2,2,21,56,78
Arena/Stadium/Fairgrounds/Coliseum,37,69,10,3,9,19,30,38
Military Installation,7,2,1,,8,4,9,4
Park/Playground,629,416,218,49,145,232,400,604
Shelter – Mission/Homeless,34,35,10,10,21,21,40,34
Tribal Lands,1,4,2,,,,2,2
Community Center,,,,,,,,
Road/Parking/Camps,"22,281","25,325","17,728","5,230","6,450","9,879","13,671","18,752"
Highway/Road/Alley/Street/Sidewalk,"12,888","16,501","11,986","3,332","3,388","5,697","7,640","10,711"
Parking/Drop Lot/Garage,"8,783","8,404","5,407","1,810","2,765","3,772","5,397","7,276"
Rest Area,4,12,4,3,4,3,5,5
Field/Woods/Waterways/Camps,606,408,331,85,293,407,629,760
Field/Woods,457,283,252,58,209,321,475,564
Lake/Waterway/Beach,80,71,39,11,20,38,99,123
Camp/Campground,51,41,32,9,19,28,36,51
Dock/Wharf/Freight/Modal Terminal,18,13,8,7,45,20,19,22
Construction/Industrial/Farm,278,105,184,44,253,307,371,606
Construction Site,187,62,103,26,174,209,254,484
Farm Facility,39,18,27,5,27,41,55,46
Industrial Site,52,25,54,13,52,57,62,76
Cyberspace,,,20,,2,3,2,3
Abandoned/Condemned Structure,23,15,18,4,15,13,45,31
Other/Unknown,"1,612","1,104","2,236",487,"1,198","1,989","2,499","2,171"
Missing,,,,,,,,
